X,Y,OBJECTID,inc_id,created_date,post_structure_qty,post_people_count,post_people_under_25_count,post_children_count,post_reason,waste_material_qty,dogs_present,post_location,email_time_utc,bureaus_detail,graffiti,Latitude,Longitude
-13655877.59,5704709.083,54,23-217212,2023/12/21 20:23:52+00,1,1,0,0,5,10,0,LAN SU CHINESE GARDEN,2023/12/21 20:36:43+00,,0,45.52597505663179,-122.6728356
-13653817.38,5703877.655,55,23-216522,2024/01/04 20:40:02+00,3,3,0,0,5,7,0,"1100-1199 SE PINE ST, PORTLAND  97214",2024/01/04 21:36:46+00,,0,45.52074225,-122.6543284
-13654757.44,5703320.248,56,24-03053,2024/01/26 18:34:33+00,10,20,0,0,5,30,0,SE Water-MLK and SE Morrison,2024/01/26 18:36:49+00,,1,45.51723378661665,-122.6627731
-13657597,5704551.881,57,23-219898,2024/01/11 17:38:24+00,2,2,0,0,5,10,0,"NW 17TH AVE &amp; NW EVERETT ST, PORTLAND  97209",2024/01/11 18:36:41+00,,0,45.524985701911326,-122.6882813
-13665690.48,5716132.954,58,23-158712,2023/07/20 17:17:03+00,1,13,0,0,5,30,0,9700-9899 N LOMBARD ST,2023/07/20 17:36:52+00,,0,45.59782489916817,-122.7609863
-13647817.99,5700148.295,59,24-13338,2024/03/06 19:44:42+00,2,4,0,0,5,15,0,"SE 61ST AVE &amp; SE POWELL BLVD FRONTAGE RD, PORT",2024/03/06 20:36:38+00,,1,45.49726455272314,-122.600435
-13658506.88,5708982.647,60,IRP-23-1016-05057,2023/10/19 16:52:49+00,1,2,0,0,5,10,0,Lindbergh's Peach Trail,2023/10/19 17:36:46+00,Metro,1,45.55286417255144,-122.6964549
-13649438.22,5711627.208,61,23-193662,2023/10/13 16:39:12+00,5,5,0,0,5,30,1,NE 46 and NE Lombard,2023/10/13 17:36:47+00,,0,45.56949721754387,-122.6149897
-13636322.85,5709559.327,62,23-211803,2023/11/30 19:07:25+00,5,10,0,0,5,60,0,BES Property 158 and Airport way ,2023/11/30 19:36:41+00,,0,45.55649163835719,-122.4971724
-13654430.9,5702976.411,63,24-31378,2024/05/02 17:40:03+00,2,4,0,0,5,1,0,SE 6th and SE Salmon St,2024/05/02 18:36:48+00,,0,45.51506948103206,-122.6598397
-13645795.56,5695039.246,64,23-164061,2023/06/23 20:02:42+00,1,1,0,0,5,5,0,SE 79TH AVE and SE CRYSTAL SPRINGS BLVD,2023/06/23 20:36:36+00,,0,45.46508531175264,-122.5822672
-13636536.04,5708247.954,65,23-203320,2023/10/26 17:54:25+00,1,5,0,0,5,5,0,15800-15899 NE FREMONT ST,2023/10/26 18:36:44+00,,0,45.54824242508009,-122.4990875
-13656377.72,5704708.609,66,24-219942,2024/01/05 20:01:47+00,3,3,0,0,5,20,0,622 NW GLISAN ST,2024/01/05 20:36:41+00,,0,45.52597207352709,-122.6773283
-13652597.97,5704171.758,67,24-29916,2024/05/02 18:16:20+00,1,1,0,0,5,10,0,SE 22nd and SE BURNSIDE,2024/05/02 18:36:48+00,,0,45.52259331639376,-122.6433742
-13655727.11,5704240.385,68,23-116320,2023/01/18 22:32:20+00,4,4,0,0,5,20,0,100-199 W BURNSIDE ST,2023/01/18 23:36:09+00,,0,45.52302524264296,-122.6714838
-13647991.44,5703582.954,69,23-216231,2023/12/20 22:33:50+00,1,2,0,0,5,10,0,SE 60TH and SE Stark,2023/12/20 22:36:38+00,,0,45.518887351459455,-122.6019931
-13640069.46,5703668.898,70,22-78061,2023/04/13 20:44:29+00,0,3,0,0,5,8,0,SE 129th and Stark ,2023/04/13 21:36:45+00,,0,45.51942830296258,-122.5308287
-13652721.58,5694056.989,71,24-00606,2024/01/12 21:38:26+00,1,1,0,0,5,20,0,"SPRINGWATER CORRIDOR, PORTLAND  97222",2024/01/12 22:36:40+00,,0,45.45889647961327,-122.6444847
-13656165.42,5701304.725,72,23-187199,2024/01/05 17:53:54+00,1,1,0,0,5,10,0,South of Sheridan on Water ,2024/01/05 18:36:40+00,,0,45.504545752650266,-122.6754212
-13655119.19,5703453.92,73,23-211278,2023/12/08 19:21:48+00,5,7,0,0,5,10,0,0-0 SE MORRISON ST-I5 FWY RAMP,2023/12/08 19:36:45+00,,1,45.51807517,-122.6660227
-13644092.92,5701371.164,74,23-204791,2024/02/09 18:20:22+00,5,8,0,0,5,40,0,I-205 MUP near SE 93rd,2024/02/09 18:36:42+00,,0,45.504964042183246,-122.5669721
-13643530.25,5705265.773,75,23-200248,2023/10/18 16:42:34+00,0,5,0,0,5,5,0,NE 99TH AVE and NE PACIFIC ST,2023/10/18 18:36:17+00,,0,45.52947846,-122.5619175
-13656991.3,5709534.246,76,23-163929,2023/06/22 18:06:19+00,5,4,0,0,5,20,0,N Interstate and N Going ,2023/06/22 18:36:49+00,,0,45.55633387727438,-122.6828402
-13644412.2,5705485.479,77,23-157228,2024/01/04 22:32:20+00,0,0,0,0,5,30,0,NE 91ST AVE and NE HASSALO ST,2024/01/04 22:36:43+00,,1,45.53086106910581,-122.5698402
-13641680.61,5697273.269,78,23-138405,2023/05/04 18:12:23+00,2,3,0,0,5,40,0,BES SwCT Wetland 1,2023/05/04 18:36:51+00,,0,45.47915852129641,-122.5453019
-13653219.02,5698373.843,79,23-178577,2023/09/22 16:36:35+00,2,4,0,0,5,10,0,1600-1699 SE MITCHELL ST,2023/09/22 16:36:45+00,,0,45.48609028612771,-122.6489532
-13656699.29,5704120.952,80,23-128648,2023/03/09 20:44:10+00,2,2,0,0,5,20,0,300-399 SW 9TH AVE,2023/03/09 21:36:43+00,,0,45.52227355024314,-122.680217
-13645887.33,5703478.152,81,24-20617,2024/04/12 18:04:00+00,2,2,0,0,5,10,0,SE 78TH and SE WASHINGTON ,2024/04/12 18:36:48+00,,0,45.51822769628544,-122.5830915
-13656300.91,5700085.108,82,23-136007,2023/07/07 16:49:14+00,1,1,0,0,5,20,0,SW Gaines st. Gravel area,2023/07/07 17:36:44+00,,0,45.496866682938986,-122.6766383
-13649438.22,5711627.208,83,23-193662,2023/10/06 20:28:48+00,6,6,0,0,5,40,0,NE 46 and NE Lombard,2023/10/06 20:36:49+00,,0,45.56949721754387,-122.6149897
-13655061.89,5704705.493,84,PPR-23-1109-05147,2023/12/01 19:01:18+00,1,1,0,0,5,5,0,Under eastbank Platform to Duckworth,2023/12/01 19:36:40+00,,0,45.52595246307111,-122.665508
-13655770.97,5706034.047,85,24-08607,2024/02/15 18:01:02+00,8,10,2,0,5,35,0,"407 N BROADWAY , PORTLAND  97227",2024/02/15 18:36:44+00,,1,45.53431305936237,-122.6718778
-13664841.03,5713890.01,86,24-21226,2024/04/03 19:59:33+00,1,1,0,0,5,5,0,"6600-6699 N OSWEGO AVE, PORTLAND  97203",2024/04/03 20:36:40+00,,0,45.58372526879594,-122.7533555
-13654094.46,5702594.003,87,23-157782,2023/06/08 16:54:13+00,2,2,0,0,5,5,0,1400-1499 SE 9TH AVE,2023/06/08 17:36:56+00,,0,45.512662289869795,-122.6568174
-13654939.52,5703770.444,88,23-217015,2024/03/28 17:25:42+00,1,2,0,0,5,20,0,SE 2ND AND SE OAK,2024/03/28 17:36:48+00,,1,45.52006745037585,-122.6644087
-13663349.91,5713623.627,89,23-126562,2023/05/11 18:54:41+00,0,5,0,0,5,15,0,6700-6799 N CAREY BLVD,2023/05/11 19:36:46+00,,0,45.582050492415895,-122.7399606
-13656991.3,5709534.246,90,23-163929,2023/06/29 20:29:23+00,3,4,0,0,5,25,0,N Interstate and N Going ,2023/06/29 20:36:39+00,,1,45.55633387727438,-122.6828402
-13657270.18,5704348.519,91,24-19607,2024/03/29 17:33:31+00,6,6,0,0,5,25,0,1400-1474 NW COUCH ST,2024/03/29 20:16:03+00,,0,45.523705812261895,-122.6853454
-13644147.4,5701476.832,92,23-177289,2023/08/10 21:56:11+00,1,2,0,0,5,20,1,SE 93RD AVE and SE CARUTHERS ST,2023/08/10 22:36:39+00,,1,45.50562930495052,-122.5674615
-13656964.43,5702753.482,93,24-21269,2024/04/05 17:11:28+00,1,1,0,0,5,10,0,1505 SW 6TH AVE ,2024/04/05 17:36:43+00,,0,45.51366619,-122.6825988
-13654883.91,5703443.17,94,23-204666,2023/11/02 21:46:59+00,1,1,0,0,5,5,0,100-199 SE ALDER ST,2023/11/02 22:36:42+00,,0,45.51800750737958,-122.6639092
-13654425.59,5702358.982,95,24-02959,2024/01/26 19:38:50+00,1,1,0,0,5,1,0,"1600-1699 SE 6TH AVE, PORTLAND  97214",2024/01/26 20:36:37+00,,0,45.51118282288764,-122.659792
-13654697.2,5702078.849,96,23-152268,2023/05/26 18:10:35+00,2,3,0,0,5,10,0,300-389 SE STEPHENS ST,2023/05/26 18:36:51+00,,0,45.509419323181774,-122.6622319
-13646252.5,5700162.35,97,23-163167,2023/06/23 18:26:45+00,1,1,0,0,5,10,0,7400-7499 SE POWELL BLVD,2023/06/23 18:36:52+00,,1,45.497353052504195,-122.5863719
-13657072.52,5698788.872,98,23-132222,2023/07/14 23:27:03+00,2,2,0,0,5,40,0,Buhler Cut off (1),2023/07/14 23:36:35+00,,0,45.48870404922178,-122.6835698
-13637139.67,5703324.413,99,24-03955,2024/01/26 18:40:44+00,1,1,0,0,5,20,0,"705 SE 155TH AVE, Portland 97233",2024/01/26 19:36:43+00,,0,45.517260002984614,-122.50451
-13648160.44,5699585.489,100,23-134008,2023/04/06 20:30:16+00,2,2,0,0,5,10,0,4010-4099 SE 58TH AVE,2023/04/06 20:36:42+00,,0,45.493720631396684,-122.6035112
-13650648.34,5703784.855,101,23-210569,2023/11/21 22:58:34+00,1,1,0,0,5,2,0,400-499 SE 37TH AVE,2023/11/21 23:36:08+00,,0,45.520158155018414,-122.6258604
-13654373.93,5701514.33,102,22-111934,2023/01/06 18:12:05+00,6,6,0,0,5,25,0,510-669 SE CARUTHERS ST,2023/01/06 20:12:32+00,,1,45.50586538232056,-122.659328
-13642597.85,5696941.246,103,23-210642,2023/12/01 21:48:45+00,5,0,0,0,5,40,0,10350-11099   SPRINGWATER TRAIL CORR,2023/12/01 22:36:40+00,,0,45.477067167462366,-122.5535416
-13656000.61,5704272.034,104,23-207474,2023/11/16 17:40:38+00,2,2,0,0,5,10,0,300-399 W BURNSIDE ST,2023/11/16 18:36:54+00,,0,45.52322443475664,-122.6739407
-13654821.8,5702540.258,105,23-138331,2023/04/13 19:29:57+00,3,5,0,0,5,16,0,200-299 SE HAWTHORNE BLVD,2023/04/13 19:36:47+00,,1,45.512323966286566,-122.6633512
-13655133.21,5703150.4,106,23-214978,2024/03/29 17:25:57+00,1,1,0,0,5,2,0,Se water Field #1 I-5,2024/03/29 20:16:03+00,,0,45.51616467713233,-122.6661487
-13654984.19,5703319.476,107,23-152778,2023/06/02 19:23:39+00,5,5,0,0,5,10,0,SE 1ST AVE and SE MORRISON ST,2023/06/02 19:36:41+00,,0,45.517228927302945,-122.66481
-13656153.48,5702466.21,108,23-189745,2023/09/14 21:08:45+00,4,4,0,0,5,20,0,0-1798 S HARBOR DR,2023/09/14 21:36:45+00,,0,45.51185783243717,-122.6753139
-13645644.66,5700085.969,109,23-128745,2023/03/10 19:40:14+00,5,10,0,0,5,30,0,SE 80TH AVE and SE RHINE ST,2023/03/10 20:36:49+00,,0,45.49687210441932,-122.5809116
-13656220.36,5703680.842,110,23-182061,2023/08/18 19:44:51+00,1,1,0,0,5,20,0,500-599 SW 4TH AVE,2023/08/18 20:36:41+00,,0,45.519503480861886,-122.6759147
-13642245.7,5700288.831,111,PBOT-24-0206-05411,2024/02/09 19:43:30+00,0,4,0,0,5,20,0,SE 110th and SE Franklin,2024/02/09 20:36:45+00,,0,45.49814946,-122.5503782
-13655724.05,5704429.179,112,SSCC-23-0315-04121,2023/03/16 17:56:01+00,3,3,0,0,5,20,0,NW 1st between Couch and Davis,2023/03/16 18:36:47+00,,0,45.52421346171308,-122.6714563
-13655728.3,5704759.918,113,23-136841,2023/04/13 17:51:39+00,14,14,0,0,5,20,0,400-499 NW 1ST AVE,2023/04/13 18:36:50+00,,1,45.526294984253184,-122.6714945
-13655761.74,5706095.774,114,23-121023,2023/02/16 21:30:10+00,4,6,0,0,5,15,0,N Dixon and N Larrabee,2023/02/16 21:36:42+00,,1,45.53470147743882,-122.6717949
-13657617.73,5706087.414,115,23-155649,2023/10/16 17:24:13+00,2,4,0,0,5,20,0,0-0 NW HWY 30-FREMONT BRG RAMP,2023/10/16 18:36:06+00,,1,45.53464887217007,-122.6884675
-13654459.92,5702969.022,116,23-149004,2023/05/18 17:18:43+00,4,3,0,0,5,5,0,500-599 SE TAYLOR ST,2023/05/18 17:36:50+00,,0,45.515022969551005,-122.6601004
-13657225.99,5709488.862,117,23-176382,2023/08/18 16:45:30+00,6,6,0,0,5,15,0,N Going,2023/08/18 17:36:46+00,,1,45.55604840790639,-122.6849485
-13655720.54,5704017.641,118,23-158709,2023/06/15 20:41:39+00,0,0,0,0,5,20,0,100-199 SW 1ST AVE,2023/06/15 21:36:48+00,,0,45.52162331905845,-122.6714248
-13656404.29,5704297.713,119,23-131128,2023/03/23 19:57:26+00,4,4,0,0,5,20,0,0-99 NW BROADWAY  ,2023/03/23 20:36:56+00,,0,45.523386052434454,-122.677567
-13656051.96,5704793.406,120,24-18560,2024/04/01 22:03:12+00,3,3,0,0,5,15,0,"340 NW GLISAN ST , PORTLAND  97209 -V1",2024/04/01 22:36:35+00,,0,45.526505738372364,-122.674402
