X,Y,OBJECTID,inc_date_create,inc_id,duplicate,item_date_create,IS_VEHICLE,report_id,latitude,longitude,zip_code,NAME,year,month
-13654479.0331,5703996.9567,203,2025/06/08 18:08:04+00,25-154271,0,20250608110143,No,883078,45.52149313282296,-122.66027212123274,97214,Buckman,2025,6
-13652494.059,5703239.5844,206,2025/06/08 18:08:03+00,25-154268,0,20250608105216,No,883070,45.516726051526234,-122.64244079550663,97214,Buckman,2025,6
-13651426.3293,5705626.4501,209,2025/06/08 17:48:03+00,25-154265,0,20250608103801,No,883051,45.53174818239039,-122.63284921641845,97232,Kerns,2025,6
-13654409.0358,5705474.0671,210,2025/06/08 17:38:04+00,25-154264,0,20250608103225,No,883041,45.53078925485172,-122.65964332478839,97232,Lloyd,2025,6
-13655107.2499,5715039.0033,214,2025/06/08 17:28:04+00,25-154260,0,20250608102039,Yes,883016,45.59094853130164,-122.66591548876455,97211,East Columbia,2025,6
-13660105.8136,5714982.8201,215,2025/06/08 17:28:04+00,25-154259,0,20250608101258,No,883012,45.59059535155055,-122.7108183504681,97203,Portsmouth,2025,6
-13651769.1016,5700268.4775,219,2025/06/08 17:18:04+00,25-154255,0,20250608100719,No,882999,45.49802129849517,-122.63592839237909,97202,Hosford-Abernethy,2025,6
-13642007.8542,5708200.8999,222,2025/06/08 16:58:04+00,25-154252,0,20250608095216,Yes,882972,45.54794640799305,-122.54824161506417,97220,Parkrose,2025,6
-13640696.4815,5707850.6258,227,2025/06/08 16:58:04+00,25-154248,0,20250608094608,No,882943,45.54574278654097,-122.53646135366827,97230,Russell,2025,6
-13642670.3321,5699096.0119,228,2025/06/08 16:58:04+00,25-154246,0,20250608094459,Yes,882934,45.490638271954076,-122.55419275529377,97266,Powellhurst-Gilbert,2025,6
-13642670.3321,5699096.0119,228,2025/06/08 16:58:04+00,25-154246,0,20250608094459,Yes,882934,45.490638271954076,-122.55419275529377,97266,Lents,2025,6
-13658503.0446,5704700.0393,229,2025/06/08 16:48:04+00,25-154245,0,20250608094335,Yes,882919,45.525918140351266,-122.69642043157198,97210,Northwest District,2025,6
-13651955.4169,5702344.5191,231,2025/06/08 16:48:04+00,25-154243,0,20250608093959,No,882909,45.51109177705956,-122.63760209119563,97214,Hosford-Abernethy,2025,6
-13648225.2501,5699476.0461,235,2025/06/08 16:38:04+00,25-154239,0,20250608092756,Yes,882888,45.49303145678775,-122.60409343270808,97206,Creston-Kenilworth,2025,6
-13665085.8651,5715003.8048,238,2025/06/08 16:28:13+00,25-154236,0,20250608092404,No,882877,45.59072726617505,-122.75555491424963,97203,St. Johns,2025,6
-13648309.3706,5700202.0486,241,2025/06/08 15:48:05+00,25-154233,0,20250608084324,No,882814,45.49760302097446,-122.60484910001666,97206,South Tabor,2025,6
-13640280.8551,5703730.4535,243,2025/06/08 15:48:04+00,25-154231,0,20250608083852,Yes,882810,45.51981574438419,-122.53272771819225,97233,Hazelwood,2025,6
-13654102.8196,5702400.7366,249,2025/06/08 15:38:04+00,25-154225,0,20250608082924,No,882803,45.511445672674434,-122.65689253786131,97214,Hosford-Abernethy,2025,6
-13657826.2584,5704986.5288,251,2025/06/08 15:38:04+00,25-154223,0,20250608082536,No,882799,45.52772112626241,-122.69034075769656,97209,Northwest District,2025,6
-13649387.6104,5700247.5768,256,2025/06/08 15:18:03+00,25-154218,0,20250608080717,No,882774,45.49788969507071,-122.61453509293952,97206,Richmond,2025,6
-13649478.9766,5700149.8564,257,2025/06/08 15:08:04+00,25-154217,0,20250608080431,No,882771,45.4972743843599,-122.61535584947863,97206,Creston-Kenilworth,2025,6
-13640411.3355,5703824.4322,258,2025/06/08 15:08:04+00,25-154216,0,20250608080408,Yes,882766,45.52040725812988,-122.53389984356822,97233,Hazelwood,2025,6
-13641006.6884,5705897.6423,264,2025/06/08 14:28:12+00,25-154210,0,20250608072025,No,882747,45.53345472122039,-122.5392479896634,97220,Hazelwood,2025,6
-13653531.5068,5713028.7031,265,2025/06/08 14:28:12+00,25-154209,0,20250608072024,No,882746,45.578309966377695,-122.6517603476588,97211,Woodlawn,2025,6
-13644696.2878,5696573.4395,268,2025/06/08 13:20:14+00,25-154206,0,20250608054148,Yes,882727,45.47475032910464,-122.57239222499636,97266,Lents,2025,6
-13657275.852,5703406.1933,272,2025/06/08 13:20:09+00,25-154202,0,20250608001829,Yes,882710,45.517774762199636,-122.68539637288059,97205,Portland Downtown,2025,6
-13665041.0778,5715180.864,277,2025/06/08 05:18:09+00,25-154197,0,20250607220358,No,882686,45.59184028846485,-122.75515258308837,97203,St. Johns,2025,6
-13646177.8524,5695595.667,279,2025/06/08 04:28:04+00,25-154195,0,20250607212252,Yes,882676,45.46859080990422,-122.58570134624226,97206,Brentwood-Darlington,2025,6
-13642138.6332,5703351.9353,287,2025/06/08 03:38:04+00,25-154187,0,20250607202628,Yes,882661,45.51743324031117,-122.54941642280957,97216,Mill Park,2025,6
-13650069.5721,5698498.4826,291,2025/06/08 03:08:04+00,25-154183,0,20250607200435,Yes,882652,45.48687525217822,-122.62066125912246,97202,Woodstock,2025,6
-13664876.9394,5714364.3551,293,2025/06/08 03:08:04+00,25-154181,0,20250607195944,No,882648,45.58670739986401,-122.75367810275407,97203,Cathedral Park,2025,6
-13653292.4677,5705664.0714,295,2025/06/08 03:08:04+00,25-154179,0,20250607195618,No,882645,45.531984926102865,-122.64961302288847,97232,Lloyd,2025,6
-13653292.4677,5705664.0714,295,2025/06/08 03:08:04+00,25-154179,0,20250607195618,No,882645,45.531984926102865,-122.64961302288847,97232,Sullivan'S Gulch,2025,6
-13645597.3372,5704067.2542,297,2025/06/08 02:58:04+00,25-154177,0,20250607195253,Yes,882638,45.52193558151558,-122.58048648947403,97215,Montavilla,2025,6
-13653358.7529,5698407.1164,300,2025/06/08 02:48:04+00,25-154174,0,20250607194127,No,882631,45.486299839293665,-122.65020847297119,97202,Sellwood-Moreland,2025,6
-13654634.893,5703312.821,304,2025/06/08 02:48:04+00,25-154170,0,20250607193747,No,882625,45.517187037735255,-122.66167223453624,97214,Buckman,2025,6
-13652287.4402,5698622.0956,305,2025/06/08 02:38:04+00,25-154169,0,20250607193131,Yes,882619,45.48765374201484,-122.64058470724636,97202,Reed,2025,6
-13646365.362,5706215.6366,307,2025/06/08 02:38:04+00,25-154167,0,20250607192633,No,882614,45.5354557069906,-122.58738577363825,97213,Montavilla,2025,6
