X,Y,OBJECTID,inc_id,created_date,post_structure_qty,post_people_count,post_people_under_25_count,post_children_count,post_reason,waste_material_qty,dogs_present,post_location,email_time_utc,bureaus_detail,graffiti,latitude,longitude,zip_code,NAME
-13655727.105,5704240.3851,68,23-116320,2023/01/18 22:32:20+00,4,4,0,0,5,20,0.0,100-199 W BURNSIDE ST,2023/01/18 23:36:09+00,,0.0,45.52302524327234,-122.67148374186725,97204.0,Old Town
-13647991.4403,5703582.9539,69,23-216231,2023/12/20 22:33:50+00,1,2,0,0,5,10,0.0,SE 60TH and SE Stark,2023/12/20 22:36:38+00,,0.0,45.518887350830035,-122.60199308353893,97215.0,Mt. Tabor
-13640069.458,5703668.8981,70,22-78061,2023/04/13 20:44:29+00,0,3,0,0,5,8,0.0,SE 129th and Stark ,2023/04/13 21:36:45+00,,0.0,45.519428303592,-122.53082870573277,97233.0,Hazelwood
-13652721.5786,5694056.9893,71,24-00606,2024/01/12 21:38:26+00,1,1,0,0,5,20,0.0,"SPRINGWATER CORRIDOR, PORTLAND  97222",2024/01/12 22:36:40+00,,0.0,45.45889648150356,-122.64448463884779,97222.0,Sellwood-Moreland
-13656165.424,5701304.7251,72,23-187199,2024/01/05 17:53:54+00,1,1,0,0,5,10,0.0,South of Sheridan on Water ,2024/01/05 18:36:40+00,,0.0,45.50454575327986,-122.67542122843746,97201.0,South Portland
-13655119.192,5703453.9201,73,23-211278,2023/12/08 19:21:48+00,5,7,0,0,5,10,0.0,0-0 SE MORRISON ST-I5 FWY RAMP,2023/12/08 19:36:45+00,,1.0,45.51807517234913,-122.66602276647409,97214.0,Buckman
-13644092.9229,5701371.1641,74,23-204791,2024/02/09 18:20:22+00,5,8,0,0,5,40,0.0,I-205 MUP near SE 93rd,2024/02/09 18:36:42+00,,0.0,45.50496404281282,-122.56697210588067,97216.0,Montavilla
-13643530.253,5705265.7731,75,23-200248,2023/10/18 16:42:34+00,0,5,0,0,5,5,0.0,NE 99TH AVE and NE PACIFIC ST,2023/10/18 18:36:17+00,,0.0,45.52947845979591,-122.56191755616982,97220.0,Hazelwood
-13656991.302,5709534.2461,76,23-163929,2023/06/22 18:06:19+00,5,4,0,0,5,20,0.0,N Interstate and N Going ,2023/06/22 18:36:49+00,,0.0,45.5563338779034,-122.68284021673962,97217.0,Overlook
-13644412.2,5705485.4791,77,23-157228,2024/01/04 22:32:20+00,0,0,0,0,5,30,0.0,NE 91ST AVE and NE HASSALO ST,2024/01/04 22:36:43+00,,1.0,45.5308610697351,-122.56984022086864,97220.0,Montavilla
