ZIP_CODE,ZIP_TYPE,PREFERRED_CITY,ACCEPTABLE_CITY1,ACCEPTABLE_CITY2,ACCEPTABLE_CITY3,AVOID_CITY1,AVOID_CITY2,AVOID_CITY3,CENSUS_ZCTA,ObjectId
97374,STANDARD,SCIO,,,,,,,97374,202
97306,STANDARD,SALEM,,,,,,,97306,203
97375,STANDARD,SCOTTS MILLS,,,,,,,97375,204
97307,PO BOX ONLY,KEIZER,SALEM,,,,,,NO ZCTA,205
97376,STANDARD,SEAL ROCK,,,,,,,97376,206
97308,PO BOX ONLY,SALEM,,,,,,,NO ZCTA,207
97377,STANDARD,SHEDD,,,,,,,97377,208
97309,PO BOX ONLY,SALEM,,,,,,,NO ZCTA,209
97378,STANDARD,SHERIDAN,,,,,,,97378,210
97310,UNIQUE,SALEM,,,,STATE GOVERNMENT,,,97310,211
97380,STANDARD,SILETZ,,,,,,,97380,212
97311,UNIQUE,SALEM,,,,DEPT EMPLOYMENT,,,NO ZCTA,213
97381,STANDARD,SILVERTON,,,,,,,97381,214
97312,UNIQUE,SALEM,,,,STATE ACCIDENT INS,,,NO ZCTA,215
97383,STANDARD,STAYTON,,,,,,,97383,216
97384,PO BOX ONLY,MEHAMA,,,,,,,97384,217
97385,STANDARD,SUBLIMITY,,,,,,,97385,218
97386,STANDARD,SWEET HOME,,,,,,,97386,219
97388,PO BOX ONLY,GLENEDEN BEACH,GLENEDEN BCH,,,,,,97388,220
97389,STANDARD,TANGENT,,,,,,,97389,221
97390,STANDARD,TIDEWATER,,,,,,,97390,222
97391,STANDARD,TOLEDO,,,,,,,97391,223
97392,STANDARD,TURNER,MARION,,,,,,97392,224
97394,STANDARD,WALDPORT,,,,,,,97394,225
97396,STANDARD,WILLAMINA,,,,,,,97396,226
97401,STANDARD,EUGENE,,,,CROW,,,97401,227
97402,STANDARD,EUGENE,,,,,,,97402,228
97403,STANDARD,EUGENE,,,,EMU U OF OR,,,97403,229
97404,STANDARD,EUGENE,,,,SANTA CLARA,,,97404,230
97405,STANDARD,EUGENE,,,,PLEASANT HILL,,,97405,231
97406,STANDARD,AGNESS,,,,,,,97406,232
97407,PO BOX ONLY,ALLEGANY,,,,,,,NO ZCTA,233
97314,UNIQUE,SALEM,,,,DEPT MOTOR VEHICLE,,,NO ZCTA,234
97317,STANDARD,SALEM,,,,,,,97317,235
97321,STANDARD,ALBANY,MILLERSBURG,,,,,,97321,236
97322,STANDARD,ALBANY,,,,,,,97322,237
97324,STANDARD,ALSEA,,,,,,,97324,238
97325,STANDARD,AUMSVILLE,WEST STAYTON,,,,,,97325,239
97326,STANDARD,BLODGETT,,,,,,,97326,240
97327,STANDARD,BROWNSVILLE,,,,,,,97327,241
97329,STANDARD,CASCADIA,,,,,,,97329,242
97330,STANDARD,CORVALLIS,ADAIR VILLAGE,,,,,,97330,243
97331,STANDARD,CORVALLIS,,,,OREGON STATE UNIV,,,97331,244
97333,STANDARD,CORVALLIS,,,,,,,97333,245
97335,PO BOX ONLY,CRABTREE,,,,,,,97335,246
97336,PO BOX ONLY,CRAWFORDSVILLE,CRAWFORDSVLLE,,,,,,97336,247
97338,STANDARD,DALLAS,,,,,,,97338,248
97339,PO BOX ONLY,CORVALLIS,,,,,,,NO ZCTA,249
97341,STANDARD,DEPOE BAY,,,,,,,97341,250
97408,STANDARD,EUGENE,COBURG,,,,,,97408,251
97409,PO BOX ONLY,ALVADORE,,,,,,,NO ZCTA,252
97410,STANDARD,AZALEA,,,,,,,97410,253
97411,STANDARD,BANDON,,,,,,,97411,254
97412,STANDARD,BLACHLY,EUGENE,,,TRIANGLE LAKE,,,97412,255
97413,STANDARD,BLUE RIVER,CKENZIE BRIDGE,MC KENZIE BRG,MCKENZIE BRIDGE,,,,97413,256
97414,STANDARD,BROADBENT,,,,,,,97414,257
97415,STANDARD,BROOKINGS,HARBOR,,,,,,97415,258
97416,STANDARD,CAMAS VALLEY,,,,,,,97416,259
97417,STANDARD,CANYONVILLE,,,,,,,97417,260
97419,STANDARD,CHESHIRE,,,,,,,97419,261
97420,STANDARD,COOS BAY,CHARLESTON,,,COOS HEAD NAVAL FACILITY,EASTSIDE,,97420,262
97423,STANDARD,COQUILLE,,,,,,,97423,263
97424,STANDARD,COTTAGE GROVE,CURTIN,SAGINAW,,WALDEN,,,97424,264
97426,STANDARD,CRESWELL,,,,WALKER,,,97426,265
97429,STANDARD,DAYS CREEK,,,,,,,97429,266
97430,STANDARD,DEADWOOD,GREENLEAF,,,,,,97430,267
97431,STANDARD,DEXTER,,,,,,,97431,268
97432,PO BOX ONLY,DILLARD,,,,,,,97432,269
97434,STANDARD,DORENA,CULP CREEK,,,,,,97434,270
97435,STANDARD,DRAIN,,,,,,,97435,271
97436,STANDARD,ELKTON,,,,,,,97436,272
97437,STANDARD,ELMIRA,,,,,,,97437,273
97438,STANDARD,FALL CREEK,JASPER,,,,,,97438,274
97439,STANDARD,FLORENCE,DUNES CITY,,,,,,97439,275
97440,PO BOX ONLY,EUGENE,,,,,,,NO ZCTA,276
97441,STANDARD,GARDINER,,,,,,,97441,277
97442,STANDARD,GLENDALE,,,,,,,97442,278
97443,STANDARD,GLIDE,,,,,,,97443,279
97444,STANDARD,GOLD BEACH,,,,,,,97444,280
97446,STANDARD,HARRISBURG,,,,,,,97446,281
97447,STANDARD,IDLEYLD PARK,,,,,,,97447,282
97448,STANDARD,JUNCTION CITY,,,,,,,97448,283
97449,STANDARD,LAKESIDE,,,,,,,97449,284
97450,STANDARD,LANGLOIS,,,,,,,97450,285
97451,STANDARD,LORANE,,,,ROGUE ELK,,,97451,286
97452,STANDARD,LOWELL,,,,,,,97452,287
97453,STANDARD,MAPLETON,,,,,,,97453,288
97454,STANDARD,MARCOLA,,,,,,,97454,289
97455,STANDARD,PLEASANT HILL,EUGENE,,,P HILL,,,97455,290
97456,STANDARD,MONROE,,,,ALPINE,,,97456,291
97457,STANDARD,MYRTLE CREEK,,,,,,,97457,292
97458,STANDARD,MYRTLE POINT,NORWAY,REMOTE,,,,,97458,293
97459,STANDARD,NORTH BEND,,,,,,,97459,294
97461,STANDARD,NOTI,,,,,,,97461,295
97462,STANDARD,OAKLAND,,,,,,,97462,296
97463,STANDARD,OAKRIDGE,,,,,,,97463,297
97464,PO BOX ONLY,OPHIR,,,,,,,NO ZCTA,298
97465,STANDARD,PORT ORFORD,,,,,,,97465,299
97466,STANDARD,POWERS,,,,,,,97466,300
97541,STANDARD,TRAIL,,,,,,,97541,301
97543,STANDARD,WILDERVILLE,GRANTS PASS,,,,,,97543,302
97544,STANDARD,WILLIAMS,,,,,,,97544,303
97601,STANDARD,KLAMATH FALLS,ORETECH,,,KFALLS,KINGSLEY FIELD,WORDEN,97601,304
97602,PO BOX ONLY,KLAMATH FALLS,,,,,,,NO ZCTA,305
97603,STANDARD,KLAMATH FALLS,,,,,,,97603,306
97604,PO BOX ONLY,CRATER LAKE,,,,,,,97604,307
97620,PO BOX ONLY,ADEL,,,,,,,97620,308
97621,STANDARD,BEATTY,,,,,,,97621,309
97622,PO BOX ONLY,BLY,,,,,,,97622,310
97623,STANDARD,BONANZA,,,,,,,97623,311
97624,STANDARD,CHILOQUIN,,,,,,,97624,312
